"","pmid","cit","year"
"22047081","22047081",1,2011
"22044312","22044312",7,2011
"22044138","22044138",3,2011
"22042261","22042261",0,2011
"22041917","22041917",0,2011
"22040989","22040989",0,2011
"22040960","22040960",0,2011
"22040959","22040959",1,2011
"22018070","22018070",2,2011
"22039264","22039264",46,2011
"22037398","22037398",10,2011
"22034781","22034781",0,2011
"22032175","22032175",0,2011
"22031469","22031469",0,2011
"22031337","22031337",0,2011
"22025138","22025138",2,2011
"22024723","22024723",2,2011
"22024720","22024720",4,2011
"22023531","22023531",2,2011
"22023526","22023526",4,2011
"22023522","22023522",0,2011
"22023519","22023519",4,2011
"22023517","22023517",3,2011
"22023214","22023214",1,2011
"22022385","22022385",4,2011
"22020760","22020760",7,2011
"22018830","22018830",1,2011
"22017478","22017478",6,2011
"22016760","22016760",6,2011
"22014047","22014047",3,2011
"22010965","22010965",13,2011
"22009554","22009554",1,2011
"21908504","21908504",9,2011
"22006556","22006556",9,2011
"22006338","22006338",58,2011
"22003067","22003067",18,2011
"22002904","22002904",0,2011
"22002134","22002134",1,2011
"22001392","22001392",5,2011
"22000698","22000698",0,2011
"21998751","21998751",3,2011
"21998208","21998208",17,2011
"21998207","21998207",3,2011
"21997434","21997434",2,2011
"21996333","21996333",0,2011
"21995711","21995711",4,2011
"21993670","21993670",14,2011
"21993667","21993667",3,2011
"21992852","21992852",12,2011
"21992675","21992675",0,2011
"21991346","21991346",6,2011
"21987669","21987669",2,2011
"21987484","21987484",2,2011
"21986843","21986843",4,2011
"21985361","21985361",1,2011
"21984589","21984589",2,2011
"21983879","21983879",0,2011
"21982887","21982887",0,2011
"21982061","21982061",0,2011
"21979878","21979878",3,2011
"21979753","21979753",9,2011
"21976156","21976156",0,2011
"21975433","21975433",0,2011
"21973072","21973072",0,2011
"21972210","21972210",2,2011
"21971274","21971274",0,2011
"21971272","21971272",0,2011
"21970484","21970484",4,2011
"21969505","21969505",7,2011
"21968789","21968789",1,2011
"21968788","21968788",15,2011
"21968097","21968097",1,2011
"21930830","21930830",4,2011
"21958189","21958189",0,2011
"21955980","21955980",1,2011
"21955805","21955805",0,2011
"23556096","23556096",0,2011
"21953617","21953617",4,2011
"21953418","21953418",3,2011
"21948297","21948297",9,2011
"21948296","21948296",0,2011
"21947285","21947285",2,2011
"21946761","21946761",0,2011
"21945028","21945028",0,2011
"21941366","21941366",5,2011
"21937691","21937691",12,2011
"21936770","21936770",1,2011
"21935862","21935862",0,2011
"21934653","21934653",2,2011
"21933855","21933855",5,2011
"21933854","21933854",6,2011
"21933580","21933580",0,2011
"21931276","21931276",2,2011
"21929312","21929312",0,2011
"21929307","21929307",1,2011
"21929283","21929283",0,2011
"21926961","21926961",5,2011
"21923655","21923655",1,2011
"21922186","21922186",8,2011
"21921357","21921357",0,2011
"21921332","21921332",0,2011
"21921050","21921050",5,2011
"21919823","21919823",5,2011
"21919037","21919037",0,2011
"21918980","21918980",4,2011
"21918973","21918973",9,2011
"21918174","21918174",10,2011
"21917752","21917752",5,2011
"21917686","21917686",6,2011
"21916829","21916829",1,2011
"21916777","21916777",0,2011
"21916527","21916527",2,2011
"21915619","21915619",0,2011
"21911837","21911837",7,2011
"21910782","21910782",4,2011
"21910157","21910157",2,2011
"21908732","21908732",16,2011
"21908424","21908424",4,2011
"21905969","21905969",1,2011
"21902688","21902688",9,2011
"21902653","21902653",8,2011
"21897877","21897877",4,2011
"21897067","21897067",1,2011
"21896924","21896924",6,2011
"21895547","21895547",0,2011
"21895400","21895400",0,2011
"21893961","21893961",2,2011
"21892084","21892084",4,2011
"21890456","21890456",12,2011
"21890454","21890454",3,2011
"21889433","21889433",9,2011
"21888805","21888805",5,2011
"21887929","21887929",0,2011
"21887515","21887515",0,2011
"21887502","21887502",3,2011
"21886169","21886169",6,2011
"21885355","21885355",9,2011
"21885123","21885123",0,2011
"21883563","21883563",2,2011
"21883389","21883389",0,2011
"21883139","21883139",0,2011
"21882851","21882851",4,2011
"21881978","21881978",0,2011
"21881595","21881595",8,2011
"21879809","21879809",9,2011
"23126049","23126049",0,2011
"23126048","23126048",0,2011
"21876854","21876854",0,2011
"21876768","21876768",7,2011
"21876118","21876118",15,2011
"21875393","21875393",1,2011
"21874832","21874832",0,2011
"21874831","21874831",0,2011
"21874830","21874830",2,2011
"21869917","21869917",2,2011
"21867460","21867460",0,2011
"21865345","21865345",11,2011
"21865343","21865343",8,2011
"21864486","21864486",6,2011
"21863758","21863758",0,2011
"21863214","21863214",8,2011
"21858802","21858802",11,2011
"21858506","21858506",1,2011
"21856867","21856867",21,2011
"21854649","21854649",7,2011
"21854093","21854093",2,2011
"21851216","21851216",1,2011
"21850989","21850989",5,2011
"21849486","21849486",132,2011
"21848524","21848524",2,2011
"21848363","21848363",3,2011
"21848129","21848129",10,2011
"21847118","21847118",5,2011
"21846902","21846902",9,2011
"21844565","21844565",13,2011
"21844497","21844497",34,2011
"21842701","21842701",4,2011
"21841127","21841127",16,2011
"21840630","21840630",2,2011
"21840488","21840488",27,2011
"21840478","21840478",3,2011
"21840049","21840049",0,2011
"21839673","21839673",1,2011
"21838166","21838166",1,2011
"21837241","21837241",2,2011
"21836079","21836079",0,2011
"21832238","21832238",287,2011
"21830940","21830940",414,2011
"21830832","21830832",6,2011
"21827374","21827374",5,2011
"21824785","21824785",7,2011
"21824050","21824050",1,2011
"21819391","21819391",0,2011
"21816850","21816850",12,2011
"21816833","21816833",46,2011
"21816376","21816376",4,2011
"21815181","21815181",0,2011
"21813633","21813633",4,2011
"21813176","21813176",12,2011
"21812539","21812539",3,2011
"21812536","21812536",15,2011
"21812535","21812535",0,2011
"21812019","21812019",4,2011
"21810972","21810972",1,2011
"21803956","21803956",0,2011
"21803855","21803855",89,2011
"21803850","21803850",5,2011
"21802141","21802141",0,2011
"21802072","21802072",0,2011
"21801234","21801234",0,2011
"23556093","23556093",0,2011
"22362008","22362008",1,2011
"21796624","21796624",5,2011
"21796143","21796143",2,2011
"21795749","21795749",22,2011
"21795040","21795040",2,2011
"21792329","21792329",0,2011
"21791429","21791429",12,2011
"21791422","21791422",19,2011
"21790895","21790895",5,2011
"21790529","21790529",2,2011
"21788947","21788947",2,2011
"21788521","21788521",54,2011
"21785810","21785810",4,2011
"21781215","21781215",1,2011
"21776871","21776871",0,2011
"21775097","21775097",2,2011
"21774745","21774745",2,2011
"21773694","21773694",3,2011
"21772726","21772726",0,2011
"21772052","21772052",17,2011
"21772050","21772050",5,2011
"21769650","21769650",3,2011
"21768777","21768777",5,2011
"21768491","21768491",0,2011
"21768328","21768328",7,2011
"21768293","21768293",15,2011
"21767711","21767711",3,2011
"21767243","21767243",4,2011
"21767241","21767241",1,2011
"21766303","21766303",0,2011
"21765023","21765023",7,2011
"21765022","21765022",19,2011
"21763630","21763630",0,2011
"21761401","21761401",5,2011
"21756832","21756832",0,2011
"21756805","21756805",0,2011
"21756541","21756541",7,2011
"21756037","21756037",0,2011
"21756026","21756026",2,2011
"21756025","21756025",5,2011
"21755252","21755252",0,2011
"21753157","21753157",3,2011
"21753148","21753148",2,2011
"21751557","21751557",0,2011
"21751347","21751347",1,2011
"21750986","21750986",5,2011
"21750934","21750934",0,2011
"21750864","21750864",0,2011
"21750559","21750559",5,2011
"21750315","21750315",17,2011
"21750087","21750087",12,2011
"21749447","21749447",0,2011
"21749360","21749360",6,2011
"21745774","21745774",0,2011
"21745455","21745455",0,2011
"21745173","21745173",4,2011
"21745159","21745159",3,2011
"21744517","21744517",1,2011
"21741593","21741593",1,2011
"21740096","21740096",0,2011
"21737576","21737576",0,2011
"21736993","21736993",0,2011
"21735280","21735280",0,2011
"21733558","21733558",5,2011
"21732781","21732781",1,2011
"21732338","21732338",6,2011
"21729524","21729524",0,2011
"21729272","21729272",0,2011
"21726204","21726204",3,2011
"21725721","21725721",1,2011
"21725374","21725374",3,2011
"21725050","21725050",24,2011
"21724431","21724431",3,2011
"21722762","21722762",4,2011
"21721452","21721452",0,2011
"21718136","21718136",2,2011
"21718135","21718135",2,2011
"21716207","21716207",2,2011
"21715317","21715317",8,2011
"23408747","23408747",1,2011
"22361879","22361879",0,2011
"21709686","21709686",7,2011
"21709200","21709200",4,2011
"21707581","21707581",7,2011
"21707361","21707361",1,2011
"21707303","21707303",0,2011
"21702641","21702641",1,2011
"21701494","21701494",6,2011
"21701493","21701493",9,2011
"21699388","21699388",3,2011
"21699387","21699387",2,2011
"21699386","21699386",1,2011
"21699385","21699385",0,2011
"21699384","21699384",0,2011
"21699383","21699383",6,2011
"21698301","21698301",14,2011
"21697278","21697278",3,2011
"21693768","21693768",1,2011
"21693757","21693757",14,2011
"21692849","21692849",4,2011
"21691729","21691729",1,2011
"21689894","21689894",1,2011
"21685909","21685909",4,2011
"21685865","21685865",1,2011
"21683324","21683324",3,2011
"21681094","21681094",2,2011
"21679253","21679253",1,2011
"21671253","21671253",0,2011
"21670470","21670470",14,2011
"21670202","21670202",88,2011
"21669057","21669057",0,2011
"21668396","21668396",0,2011
"21666687","21666687",5,2011
"21664727","21664727",0,2011
"21663977","21663977",6,2011
"21663967","21663967",1,2011
"21663506","21663506",0,2011
"21663503","21663503",0,2011
"21659550","21659550",1,2011
"21659360","21659360",2,2011
"21659049","21659049",1,2011
"21652674","21652674",5,2011
"21652011","21652011",4,2011
"21649549","21649549",4,2011
"21649540","21649540",17,2011
"21647873","21647873",5,2011
"21647162","21647162",1,2011
"21645972","21645972",0,2011
"21645153","21645153",4,2011
"21645151","21645151",3,2011
"21642962","21642962",228,2011
"21639821","21639821",3,2011
"21638772","21638772",0,2011
"21638517","21638517",2,2011
"21637160","21637160",0,2011
"21636858","21636858",21,2011
"21633102","21633102",3,2011
"21633088","21633088",18,2011
"21632856","21632856",1,2011
"21631636","21631636",2,2011
"21630303","21630303",0,2011
"21630086","21630086",10,2011
"21629641","21629641",0,2011
"21628070","21628070",16,2011
"21627362","21627362",0,2011
"21626114","21626114",1,2011
"21626106","21626106",0,2011
"21625232","21625232",6,2011
"21625188","21625188",0,2011
"21624859","21624859",0,2011
"24048793","24048793",2,2011
"23556086","23556086",0,2011
"21622649","21622649",13,2011
"21617923","21617923",4,2011
"21617698","21617698",10,2011
"21617011","21617011",1,2011
"21615993","21615993",0,2011
"21615384","21615384",2,2011
"21614458","21614458",0,2011
"21599604","21599604",1,2011
"21609922","21609922",0,2011
"21609366","21609366",1,2011
"21606964","21606964",6,2011
"21606960","21606960",8,2011
"21606432","21606432",13,2011
"21605493","21605493",1,2011
"21605451","21605451",5,2011
"21603111","21603111",0,2011
"21602524","21602524",7,2011
"21600953","21600953",1,2011
"21599591","21599591",1,2011
"21599588","21599588",0,2011
"21599582","21599582",0,2011
"21595749","21595749",1,2011
"21595737","21595737",4,2011
"21595596","21595596",0,2011
"21587018","21587018",0,2011
"21586142","21586142",12,2011
"21584669","21584669",2,2011
"21576419","21576419",0,2011
"21575925","21575925",0,2011
"21575156","21575156",4,2011
"21574533","21574533",2,2011
"21574101","21574101",2,2011
"21570119","21570119",3,2011
"21569005","21569005",12,2011
"24765302","24765302",0,2011
"21567356","21567356",0,2011
"21566651","21566651",9,2011
"21565980","21565980",30,2011
"21564074","21564074",2,2011
"21563556","21563556",1,2011
"21563234","21563234",7,2011
"21562047","21562047",13,2011
"21561406","21561406",2,2011
"21561405","21561405",1,2011
"21560455","21560455",1,2011
"21555699","21555699",9,2011
"21554262","21554262",9,2011
"21553499","21553499",0,2011
"21552038","21552038",0,2011
"21551245","21551245",5,2011
"21547266","21547266",0,2011
"21546901","21546901",7,2011
"21546829","21546829",6,2011
"21546505","21546505",7,2011
"21546498","21546498",16,2011
"21544199","21544199",20,2011
"21543761","21543761",8,2011
"21530771","21530771",4,2011
"21530770","21530770",0,2011
"21530769","21530769",7,2011
"21541442","21541442",1,2011
"21536647","21536647",3,2011
"21536543","21536543",0,2011
"21535162","21535162",2,2011
"21534942","21534942",6,2011
"21534869","21534869",0,2011
"21534443","21534443",0,2011
"21531460","21531460",3,2011
"21529229","21529229",0,2011
"22829155","22829155",1,2011
"21528511","21528511",0,2011
"21528429","21528429",0,2011
"21528409","21528409",0,2011
"21526504","21526504",0,2011
"21526495","21526495",0,2011
"21526489","21526489",0,2011
"21525382","21525382",0,2011
"21523729","21523729",6,2011
"21523725","21523725",14,2011
"21521181","21521181",0,2011
"21521129","21521129",9,2011
"21520406","21520406",0,2011
"21519633","21519633",6,2011
"21519241","21519241",8,2011
"21514340","21514340",3,2011
"21514298","21514298",3,2011
"21513881","21513881",7,2011
"21509766","21509766",8,2011
"21508570","21508570",0,2011
"21508124","21508124",12,2011
"21508119","21508119",7,2011
"21505595","21505595",0,2011
"21505586","21505586",1,2011
"21505107","21505107",1,2011
"21504579","21504579",1,2011
"21504298","21504298",0,2011
"21504287","21504287",4,2011
"21503909","21503909",1,2011
"21503826","21503826",1,2011
"21502423","21502423",3,2011
"21501136","21501136",3,2011
"21500311","21500311",2,2011
"21499555","21499555",1,2011
"21498674","21498674",19,2011
"21498346","21498346",5,2011
"21495929","21495929",0,2011
"21495919","21495919",0,2011
"21494579","21494579",5,2011
"21493873","21493873",7,2011
"21487463","21487463",1,2011
"21486864","21486864",8,2011
"21486555","21486555",0,2011
"21484792","21484792",11,2011
"21484650","21484650",0,2011
"21483000","21483000",28,2011
"21481194","21481194",4,2011
"21479697","21479697",3,2011
"21479652","21479652",0,2011
"21478095","21478095",2,2011
"21476834","21476834",2,2011
"21475128","21475128",0,2011
"21472865","21472865",0,2011
"21472850","21472850",2,2011
"21472849","21472849",2,2011
"21470196","21470196",0,2011
"21465516","21465516",0,2011
"21465189","21465189",1,2011
"21464370","21464370",13,2011
"21463298","21463298",3,2011
"21463125","21463125",0,2011
"21463124","21463124",2,2011
"21463117","21463117",1,2011
"21463115","21463115",1,2011
"21462308","21462308",1,2011
"21460253","21460253",23,2011
"21457541","21457541",0,2011
"21455998","21455998",14,2011
"21455216","21455216",6,2011
"21454464","21454464",0,2011
"21454208","21454208",0,2011
"21454195","21454195",2,2011
"21454190","21454190",5,2011
"21449727","21449727",2,2011
"21446993","21446993",0,2011
"21443749","21443749",4,2011
"21443542","21443542",0,2011
"21440956","21440956",0,2011
"21439927","21439927",2,2011
"21438908","21438908",5,2011
"21438832","21438832",2,2011
"21438742","21438742",7,2011
"21436254","21436254",5,2011
"21436054","21436054",25,2011
"21435757","21435757",12,2011
"21434987","21434987",0,2011
"21434945","21434945",3,2011
"21431638","21431638",0,2011
"21430370","21430370",1,2011
"21429392","21429392",0,2011
"21427708","21427708",7,2011
"21427241","21427241",0,2011
"21426467","21426467",0,2011
"21426340","21426340",7,2011
"21425148","21425148",6,2011
"21424304","21424304",1,2011
"21423095","21423095",1,2011
"21422473","21422473",91,2011
"21421106","21421106",1,2011
"21417856","21417856",3,2011
"21417824","21417824",2,2011
"21417823","21417823",8,2011
"21416862","21416862",0,2011
"21414663","21414663",9,2011
"21411775","21411775",4,2011
"21408091","21408091",16,2011
"21406718","21406718",12,2011
"21406717","21406717",8,2011
"21406192","21406192",2,2011
"21403646","21403646",4,2011
"21402714","21402714",24,2011
"21401863","21401863",0,2011
"21401803","21401803",8,2011
"21401570","21401570",0,2011
"21398617","21398617",7,2011
"21398049","21398049",1,2011
"21394754","21394754",2,2011
"21391831","21391831",1,2011
"21388639","21388639",0,2011
"21385850","21385850",18,2011
"21384619","21384619",0,2011
"21381866","21381866",0,2011
"21378318","21378318",9,2011
"21378270","21378270",23,2011
"21377729","21377729",0,2011
"21376395","21376395",0,2011
"21372840","21372840",12,2011
"21371003","21371003",2,2011
"21368508","21368508",1,2011
"21368287","21368287",5,2011
"21367750","21367750",10,2011
"21364357","21364357",0,2011
"21364322","21364322",9,2011
"21364020","21364020",8,2011
"21358717","21358717",5,2011
"21358081","21358081",2,2011
"21357715","21357715",4,2011
"21356166","21356166",3,2011
"21355086","21355086",8,2011
"21354618","21354618",4,2011
"21354544","21354544",0,2011
"21352196","21352196",15,2011
"22866091","22866091",0,2011
"22829125","22829125",2,2011
"21350830","21350830",2,2011
"21350559","21350559",3,2011
"21347052","21347052",1,2011
"21342733","21342733",0,2011
"21342032","21342032",1,2011
"21339937","21339937",0,2011
"21337493","21337493",0,2011
"21334745","21334745",3,2011
"21334411","21334411",4,2011
"21333354","21333354",1,2011
"21332707","21332707",0,2011
"21331280","21331280",1,2011
"21330330","21330330",2,2011
"21329399","21329399",1,2011
"21328981","21328981",0,2011
"21328393","21328393",2,2011
"21327690","21327690",0,2011
"21326974","21326974",0,2011
"21326166","21326166",4,2011
"21326163","21326163",0,2011
"21326143","21326143",3,2011
"21323871","21323871",0,2011
"21323870","21323870",4,2011
"21323860","21323860",14,2011
"21323738","21323738",1,2011
"21323523","21323523",0,2011
"21323519","21323519",0,2011
"21323511","21323511",1,2011
"21322776","21322776",1,2011
"21322774","21322774",1,2011
"21321570","21321570",4,2011
"21321292","21321292",26,2011
"21320251","21320251",4,2011
"21308678","21308678",0,2011
"21319261","21319261",8,2011
"21317446","21317446",11,2011
"21315822","21315822",1,2011
"21315423","21315423",4,2011
"21315416","21315416",1,2011
"21314934","21314934",0,2011
"21314489","21314489",1,2011
"21314241","21314241",11,2011
"21310924","21310924",3,2011
"21309993","21309993",2,2011
"21309282","21309282",0,2011
"21307401","21307401",3,2011
"21307146","21307146",5,2011
"21305641","21305641",9,2011
"21303354","21303354",4,2011
"21303335","21303335",0,2011
"21302764","21302764",0,2011
"21299373","21299373",0,2011
"21296997","21296997",22,2011
"21296976","21296976",20,2011
"21296675","21296675",9,2011
"21293487","21293487",20,2011
"21292782","21292782",0,2011
"21292303","21292303",0,2011
"21291569","21291569",2,2011
"21290989","21290989",0,2011
"21289858","21289858",1,2011
"21288559","21288559",5,2011
"21287458","21287458",0,2011
"21281966","21281966",3,2011
"21281237","21281237",0,2011
"21281228","21281228",0,2011
"21278032","21278032",0,2011
"21276379","21276379",0,2011
"21275464","21275464",0,2011
"25984102","25984102",0,2011
"23556075","23556075",1,2011
"22829111","22829111",3,2011
"21272268","21272268",1,2011
"21271863","21271863",0,2011
"21270755","21270755",1,2011
"21270444","21270444",9,2011
"21269744","21269744",6,2011
"21269563","21269563",0,2011
"21266718","21266718",18,2011
"21264533","21264533",0,2011
"21261685","21261685",1,2011
"21259300","21259300",5,2011
"21259299","21259299",1,2011
"21258759","21258759",1,2011
"21256112","21256112",3,2011
"21252115","21252115",12,2011
"21251549","21251549",0,2011
"21247382","21247382",21,2011
"21246526","21246526",1,2011
"21246308","21246308",5,2011
"21245487","21245487",21,2011
"21242995","21242995",0,2011
"21242190","21242190",8,2011
"21239933","21239933",0,2011
"21239884","21239884",1,2011
"21239840","21239840",21,2011
"21239804","21239804",13,2011
"21239776","21239776",5,2011
"21239775","21239775",3,2011
"21239774","21239774",5,2011
"21239773","21239773",5,2011
"21239698","21239698",27,2011
"21237394","21237394",0,2011
"21237393","21237393",0,2011
"21236697","21236697",6,2011
"21235440","21235440",1,2011
"21233840","21233840",30,2011
"21233839","21233839",7,2011
"21233241","21233241",0,2011
"21233232","21233232",0,2011
"21232794","21232794",5,2011
"21231927","21231927",3,2011
"21229646","21229646",0,2011
"21229638","21229638",0,2011
"21226305","21226305",0,2011
"21195313","21195313",4,2011
"21225866","21225866",13,2011
"21225829","21225829",0,2011
"21225726","21225726",1,2011
"21222497","21222497",1,2011
"21220745","21220745",7,2011
"21220603","21220603",26,2011
"21220587","21220587",1,2011
"21220490","21220490",5,2011
"21216163","21216163",4,2011
"21215367","21215367",333,2011
"21214505","21214505",2,2011
"21212793","21212793",5,2011
"21212432","21212432",4,2011
"21210259","21210259",0,2011
"21209908","21209908",10,2011
"21209468","21209468",3,2011
"21208658","21208658",1,2011
"21206375","21206375",0,2011
"21206118","21206118",0,2011
"21205974","21205974",0,2011
"21205973","21205973",2,2011
"21205967","21205967",49,2011
"21205928","21205928",6,2011
"21205465","21205465",1,2011
"21204907","21204907",0,2011
"21203871","21203871",4,2011
"21199182","21199182",1,2011
"21196171","21196171",11,2011
"21193695","21193695",14,2011
"21193417","21193417",5,2011
"21193054","21193054",9,2011
"21192630","21192630",0,2011
"25954538","25954538",0,2011
"24950545","24950545",0,2011
"24421996","24421996",0,2011
"24212774","24212774",0,2011
"23284259","23284259",2,2011
"23082480","23082480",0,2011
"23082473","23082473",0,2011
"23049318","23049318",1,2011
"22820137","22820137",1,2011
"22471485","22471485",1,2011
"22432063","22432063",1,2011
"22393989","22393989",2,2011
"23271884","23271884",0,2012
"23271264","23271264",2,2012
"23270583","23270583",3,2012
"23270582","23270582",1,2012
"23270003","23270003",14,2012
"23269607","23269607",4,2012
"23267144","23267144",0,2012
"23267079","23267079",2,2012
"23265768","23265768",3,2012
"23264903","23264903",21,2012
"23264597","23264597",15,2012
"23259986","23259986",0,2012
"23259069","23259069",2,2012
"23259064","23259064",1,2012
"23257916","23257916",2,2012
"23257842","23257842",1,2012
"23257714","23257714",2,2012
"23257533","23257533",1,2012
"23257503","23257503",2,2012
"23256681","23256681",7,2012
"23255557","23255557",3,2012
"23254517","23254517",0,2012
"23253433","23253433",0,2012
"23253001","23253001",0,2012
"23252565","23252565",3,2012
"23249977","23249977",0,2012
"23249622","23249622",0,2012
"23249221","23249221",1,2012
"23247726","23247726",9,2012
"23247659","23247659",0,2012
"23247237","23247237",0,2012
"23246696","23246696",20,2012
"23243283","23243283",0,2012
"23243274","23243274",29,2012
"23241880","23241880",1,2012
"23238796","23238796",2,2012
"23238639","23238639",8,2012
"23236036","23236036",6,2012
"23233702","23233702",5,2012
"23233648","23233648",8,2012
"23233647","23233647",0,2012
"23233566","23233566",2,2012
"23233565","23233565",5,2012
"23233564","23233564",9,2012
"23233032","23233032",0,2012
"23230037","23230037",0,2012
"23228986","23228986",2,2012
"23225880","23225880",11,2012
"23225571","23225571",0,2012
"23225254","23225254",2,2012
"23225251","23225251",0,2012
"23224939","23224939",0,2012
"23224401","23224401",4,2012
"23223137","23223137",8,2012
"23221787","23221787",3,2012
"23220742","23220742",5,2012
"23219151","23219151",3,2012
"23217953","23217953",1,2012
"23216957","23216957",0,2012
"23216591","23216591",1,2012
"23216588","23216588",7,2012
"23212867","23212867",0,2012
"23211638","23211638",8,2012
"23210523","23210523",0,2012
"23209030","23209030",2,2012
"23206225","23206225",0,2012
"23205669","23205669",9,2012
"23205585","23205585",3,2012
"23205264","23205264",0,2012
"23205259","23205259",0,2012
"23205258","23205258",4,2012
"23198191","23198191",1,2012
"23193970","23193970",3,2012
"23190424","23190424",7,2012
"23190403","23190403",0,2012
"23189934","23189934",1,2012
"23188619","23188619",0,2012
"23187769","23187769",0,2012
"23187462","23187462",1,2012
"23187293","23187293",3,2012
"23185961","23185961",0,2012
"23184314","23184314",3,2012
"23184105","23184105",5,2012
"23182705","23182705",2,2012
"23181473","23181473",3,2012
"23181106","23181106",2,2012
"23179994","23179994",0,2012
"23178471","23178471",1,2012
"23176289","23176289",1,2012
"23176062","23176062",0,2012
"23175624","23175624",9,2012
"23175327","23175327",0,2012
"23175245","23175245",4,2012
"23172082","23172082",1,2012
"23170196","23170196",4,2012
"23169782","23169782",3,2012
"23168913","23168913",2,2012
"23168072","23168072",1,2012
"23167608","23167608",3,2012
"23167503","23167503",1,2012
"23165478","23165478",10,2012
"23163595","23163595",0,2012
"23160471","23160471",1,2012
"23160465","23160465",13,2012
"23160450","23160450",3,2012
"23160186","23160186",8,2012
"23158628","23158628",0,2012
"23154584","23154584",2,2012
"23153630","23153630",0,2012
"23153241","23153241",5,2012
"23152777","23152777",2,2012
"23152253","23152253",4,2012
"23151304","23151304",0,2012
"23151046","23151046",3,2012
"23149165","23149165",7,2012
"23147791","23147791",8,2012
"23146557","23146557",2,2012
"23144194","23144194",4,2012
"23144156","23144156",0,2012
"23141964","23141964",1,2012
"23140226","23140226",0,2012
"23139212","23139212",3,2012
"23139103","23139103",1,2012
"23138133","23138133",12,2012
"23137674","23137674",0,2012
"23136257","23136257",1,2012
"23134359","23134359",0,2012
"23134001","23134001",0,2012
"23133960","23133960",0,2012
"23133664","23133664",4,2012
"23130831","23130831",2,2012
"23129836","23129836",1,2012
"23124520","23124520",27,2012
"23123942","23123942",47,2012
"23122378","23122378",0,2012
"23121522","23121522",3,2012
"23118218","23118218",4,2012
"23117883","23117883",5,2012
"23117839","23117839",4,2012
"23117219","23117219",6,2012
"23115113","23115113",0,2012
"23115077","23115077",1,2012
"23114654","23114654",7,2012
"23114648","23114648",0,2012
"23114389","23114389",0,2012
"23114126","23114126",0,2012
"23111193","23111193",10,2012
"23110309","23110309",0,2012
"23109725","23109725",3,2012
"23108383","23108383",11,2012
"23103742","23103742",0,2012
"23103084","23103084",0,2012
"23098292","23098292",1,2012
"23098244","23098244",7,2012
"23097993","23097993",0,2012
"23095794","23095794",0,2012
"23092340","23092340",0,2012
"23092099","23092099",1,2012
"23091163","23091163",18,2012
"23091097","23091097",13,2012
"23090290","23090290",1,2012
"23089183","23089183",4,2012
"23088640","23088640",0,2012
"23088420","23088420",3,2012
"23088192","23088192",0,2012
"23087560","23087560",1,2012
"23086750","23086750",24,2012
"23085695","23085695",0,2012
"23085343","23085343",1,2012
"23084581","23084581",1,2012
"23078646","23078646",2,2012
"23076878","23076878",1,2012
"23075808","23075808",12,2012
"23073527","23073527",2,2012
"23073122","23073122",0,2012
"23072591","23072591",1,2012
"23071276","23071276",6,2012
"23067529","23067529",0,2012
"23066150","23066150",6,2012
"23065520","23065520",3,2012
"23065503","23065503",3,2012
"23064660","23064660",0,2012
"23064414","23064414",59,2012
"23064070","23064070",1,2012
"23062926","23062926",0,2012
"23062459","23062459",0,2012
"23060227","23060227",1,2012
"23057493","23057493",7,2012
"23054874","23054874",0,2012
"23054209","23054209",0,2012
"23052131","23052131",0,2012
"23049428","23049428",1,2012
"23047824","23047824",24,2012
"23045577","23045577",84,2012
"23045312","23045312",0,2012
"23044996","23044996",3,2012
"23044656","23044656",2,2012
"23044071","23044071",1,2012
"23043283","23043283",1,2012
"23043253","23043253",0,2012
"23042099","23042099",1,2012
"23041722","23041722",8,2012
"23041721","23041721",6,2012
"23039362","23039362",2,2012
"23039309","23039309",4,2012
"23038196","23038196",2,2012
"23038195","23038195",0,2012
"23035788","23035788",1,2012
"23034282","23034282",43,2012
"23033927","23033927",1,2012
"23033271","23033271",6,2012
"23031738","23031738",2,2012
"23027727","23027727",0,2012
"23027683","23027683",2,2012
"23026399","23026399",1,2012
"23025755","23025755",0,2012
"23025654","23025654",0,2012
"23025533","23025533",3,2012
"23025267","23025267",1,2012
"23023714","23023714",21,2012
"24455520","24455520",0,2012
"23019202","23019202",1,2012
"23017807","23017807",0,2012
"23014659","23014659",1,2012
"23013295","23013295",1,2012
"23009220","23009220",3,2012
"23008321","23008321",1,2012
"23006944","23006944",6,2012
"23006943","23006943",2,2012
"23005596","23005596",1,2012
"23001755","23001755",6,2012
"23001040","23001040",4,2012
"23000827","23000827",0,2012
"22994703","22994703",0,2012
"22994157","22994157",3,2012
"22992980","22992980",1,2012
"22989355","22989355",1,2012
"22988987","22988987",8,2012
"22983585","22983585",2,2012
"22981691","22981691",5,2012
"22980447","22980447",0,2012
"22980425","22980425",14,2012
"22976953","22976953",7,2012
"22975686","22975686",12,2012
"22974386","22974386",1,2012
"22973499","22973499",2,2012
"22973497","22973497",4,2012
"22973496","22973496",2,2012
"22973336","22973336",0,2012
"22972689","22972689",2,2012
"22972527","22972527",1,2012
"22972131","22972131",1,2012
"22971532","22971532",0,2012
"22970741","22970741",1,2012
"22966877","22966877",1,2012
"22966019","22966019",1,2012
"22962562","22962562",1,2012
"22961973","22961973",1,2012
"22961060","22961060",1,2012
"22960555","22960555",13,2012
"22959215","22959215",0,2012
"22956525","22956525",0,2012
"22956261","22956261",6,2012
